player_id,goals_total,assists_total,yellow_cards,red_cards,player_name,date_of_birth,sub_position,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,bmi,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,age,position,market_value_eur,market_value_yoy_change,market_value_yoy_pct_change,minutes_played_season,goal_involvement_per_90,defensive_actions_per_90,sb_pass_accuracy,season_days_injured,injury_risk_score,availability_index,fan_sentiment,media_sentiment,overall_sentiment,sentiment_yoy_change
149540,0,2,7,1,Zakarya Bergdich,07-01-1989,Left-Back,0,2013,La Liga_2013/2014,1,0,0,0,0.0,14,9,3,0,2,71,24.97959184,0,0,0.0,0,0,24,Defender,1000000,0,0.0,1696,0.106132075,0.159198113,0.642857143,0,0.0,1.0,-0.674737062,-0.05078791,-0.362762486,0.0
149551,0,2,2,0,Jonathan Delaplace,20-03-1986,Central Midfield,0,2015,Ligue 1_2015/2016,22,0,1,18,1.190912765,611,429,41,23,6,94,24.97959184,0,0,0.0,0,0,29,Midfield,1750000,0,0.0,1570,0.114649682,3.668789809,0.70212766,0,0.0,1.0,0.144483307,0.170460417,0.157471862,0.0
149579,3,3,3,0,Elbasan Rashani,09-05-1993,Left Winger,0,2022,Ligue 1_2022/2023,2,0,1,2,0.332564995,51,35,5,2,2,93,24.97959184,0,0,0.0,0,0,29,Attack,2000000,0,0.0,2175,0.248275862,0.289655172,0.68627451,0,0.0,1.0,0.382483885,0.237895965,0.310189925,0.0
151470,0,1,5,0,Nikola Vukcevic,13-12-1991,Defensive Midfield,0,2018,La Liga_2018/2019,1,0,0,0,0.0,26,26,3,0,0,64,19.84050439,0,0,0.0,0,0,27,Midfield,2500000,0,0.0,740,0.121621622,0.364864865,1.0,0,0.0,1.0,0.451170502,0.072795927,0.261983215,0.0
151470,0,2,13,0,Nikola Vukcevic,13-12-1991,Defensive Midfield,0,2019,La Liga_2019/2020,2,0,0,0,0.0,25,22,2,3,0,93,19.84050439,0,0,0.0,0,0,28,Midfield,2400000,-100000,-0.04,1708,0.105386417,0.263466042,0.88,0,0.0,1.0,-0.586443505,-0.024037852,-0.305240678,-0.567223893
151470,0,0,5,0,Nikola Vukcevic,13-12-1991,Defensive Midfield,0,2020,La Liga_2020/2021,1,0,0,0,0.0,21,20,0,1,0,67,19.84050439,0,0,0.0,0,0,29,Midfield,1800000,-600000,-0.25,948,0.0,0.094936709,0.952380952,0,0.0,1.0,-0.244683435,-0.192810721,-0.218747078,0.0864936
152963,0,0,3,0,Florian Niederlechner,24-10-1990,Centre-Forward,0,2015,1. Bundesliga_2015/2016,12,0,0,5,1.479893304,37,20,3,1,0,93,22.58783309,0,0,0.0,0,0,25,Attack,1500000,0,0.0,338,0.0,1.065088757,0.540540541,0,0.0,1.0,0.85392181,0.290255467,0.572088638,0.0
153084,2,5,6,0,Leon Goretzka,06-02-1995,Central Midfield,0,2015,1. Bundesliga_2015/2016,25,1,3,37,2.482650907,952,783,66,37,29,95,22.58783309,0,0,0.0,0,0,20,Midfield,13000000,0,0.0,2738,0.23009496,3.38568298,0.822478992,0,0.0,1.0,0.121605064,-0.038171701,0.041716681,0.0
153084,9,7,4,0,Leon Goretzka,06-02-1995,Central Midfield,0,2018,FIFA World Cup_2018,1,0,0,2,0.28215668,22,20,1,0,1,62,22.58783309,0,0,0.0,0,0,23,Midfield,50000000,37000000,2.846153846,2720,0.529411765,0.033088235,0.909090909,0,0.0,1.0,-0.104085718,0.232391775,0.064153028,0.022436347
153084,8,8,3,0,Leon Goretzka,06-02-1995,Central Midfield,0,2020,UEFA Euro_2020,3,1,0,5,0.3021026,72,66,1,1,1,93,22.58783309,0,0,0.0,0,0,25,Midfield,70000000,20000000,0.4,2244,0.64171123,0.080213904,0.916666667,0,0.0,1.0,0.462476365,0.524654898,0.493565632,0.429412604
153084,6,6,6,0,Leon Goretzka,06-02-1995,Central Midfield,0,2022,FIFA World Cup_2022,3,0,0,4,0.46069595,59,46,4,2,0,96,22.58783309,0,0,0.0,0,0,27,Midfield,45000000,-25000000,-0.357142857,2554,0.422866092,0.211433046,0.779661017,0,0.0,1.0,0.489174627,0.749016238,0.619095432,0.125529801
153084,6,11,5,0,Leon Goretzka,06-02-1995,Central Midfield,0,2023,1. Bundesliga_2023/2024,2,1,0,4,0.463687389,110,99,1,1,0,97,22.58783309,0,0,0.0,0,0,28,Midfield,30000000,-15000000,-0.333333333,3106,0.492594977,0.05795235,0.9,0,0.0,1.0,0.136605733,0.239400206,0.18800297,-0.431092463
153628,0,0,0,0,Lukas Fröde,23-01-1995,Defensive Midfield,0,2015,1. Bundesliga_2015/2016,6,0,0,1,0.032750346,50,29,4,1,0,94,22.58783309,0,0,0.0,0,0,20,Midfield,350000,0,0.0,124,0.0,3.629032258,0.58,0,0.0,1.0,0.495198864,-0.125463044,0.18486791,0.0
153634,0,0,0,0,Marcel Hilßner,30-01-1995,Right Winger,0,2015,1. Bundesliga_2015/2016,1,0,0,0,0.0,12,7,0,0,0,87,22.58783309,0,0,0.0,0,0,20,Attack,300000,0,0.0,34,0.0,0.0,0.583333333,0,0.0,1.0,0.618583722,0.076036179,0.347309951,0.0
154171,2,2,0,0,Benjamin Corgnet,06-04-1987,Attacking Midfield,0,2015,Ligue 1_2015/2016,16,1,1,11,1.119127833,264,160,12,6,7,93,22.58783309,0,0,0.0,0,0,28,Midfield,2500000,0,0.0,849,0.424028269,1.908127208,0.606060606,0,0.0,1.0,0.060016378,0.436284576,0.248150477,0.0
154199,0,0,1,0,Wesley Lautoa,25-08-1987,Centre-Back,0,2015,Ligue 1_2015/2016,13,0,0,5,0.306520097,518,426,19,21,4,95,22.58783309,0,0,0.0,0,0,28,Defender,2500000,0,0.0,1008,0.0,3.571428571,0.822393822,0,0.0,1.0,0.141515476,0.372584299,0.257049887,0.0
156617,7,5,8,0,Marcelo Brozovic,16-11-1992,Defensive Midfield,0,2015,Serie A_2015/2016,32,4,4,56,3.444159743,1841,1451,59,21,40,96,22.58783309,0,0,0.0,0,0,23,Midfield,18000000,0,0.0,2624,0.411585366,2.743902439,0.788158609,0,0.0,1.0,-0.499456315,0.44242123,-0.028517542,0.0
156617,3,1,16,0,Marcelo Brozovic,16-11-1992,Defensive Midfield,0,2018,FIFA World Cup_2018,6,1,1,5,0.903321447,379,325,10,3,0,122,22.58783309,0,0,0.0,0,0,26,Midfield,50000000,32000000,1.777777778,3546,0.101522843,0.329949239,0.857519789,0,0.0,1.0,-0.232213623,-0.028820251,-0.130516937,-0.101999394
156617,2,7,13,0,Marcelo Brozovic,16-11-1992,Defensive Midfield,0,2020,UEFA Euro_2020,4,0,0,1,0.03388592,213,192,3,5,0,120,22.58783309,0,0,0.0,0,0,28,Midfield,40000000,-10000000,-0.2,3245,0.249614792,0.221879815,0.901408451,0,0.0,1.0,-0.424783275,-0.079166367,-0.251974821,-0.121457885
156617,3,6,10,0,Marcelo Brozovic,16-11-1992,Defensive Midfield,0,2022,FIFA World Cup_2022,6,1,0,5,1.368818893,529,472,12,10,5,121,22.58783309,0,0,0.0,0,0,30,Midfield,25000000,-15000000,-0.375,2507,0.323095333,0.789788592,0.892249527,0,0.0,1.0,-0.224745715,0.160811139,-0.031967288,0.220007533
156990,1,1,6,0,Marco Friedl,16-03-1998,Centre-Back,0,2023,1. Bundesliga_2023/2024,1,0,0,0,0.0,49,45,2,1,0,92,20.83070319,0,0,0.0,0,0,25,Defender,7500000,0,0.0,2199,0.081855389,0.122783083,0.918367347,0,0.0,1.0,0.193704544,-0.10897397,0.042365287,0.0
